Order_ID,Order_Date,Customer_ID,Customer_Segment,Product_Name,Category,Region,City,Quantity,Unit_Price,Discount,Sales,Cost,Profit
ORD00001,2025-12-15,CUST1127,Small Business,Printer Paper,Office Supplies,East,Kolkata,5,9445.52,0.0,47227.6,26660.97,20566.63
ORD00002,2025-12-26,CUST1124,Corporate,Tablet,Electronics,North,Jaipur,4,56319.31,0.0,225277.24,179783.15,45494.09
ORD00003,2025-01-22,CUST1338,Consumer,Coffee Table,Furniture,North,Chandigarh,3,24051.67,0.0,72155.01,57250.59,14904.42
ORD00004,2025-06-24,CUST0958,Consumer,Wallet,Accessories,South,Kochi,1,2882.38,0.1,2594.14,1537.37,1056.77
ORD00005,2025-03-30,CUST0388,Consumer,Pen Set,Office Supplies,West,Mumbai,2,5950.56,0.1,10711.01,7069.67,3641.34
ORD00006,2025-09-21,CUST0509,Consumer,Printer Paper,Office Supplies,North,Delhi,4,11015.94,0.15,37454.2,24580.78,12873.42
ORD00007,2025-11-06,CUST1796,Consumer,Backpack,Accessories,West,Pune,2,53700.16,0.1,96660.29,75440.32,21219.97
ORD00008,2025-09-09,CUST1751,Corporate,Office Chair,Furniture,West,Mumbai,2,32427.56,0.1,58369.61,46188.68,12180.93
ORD00009,2025-02-10,CUST0493,Small Business,Printer Paper,Office Supplies,North,Delhi,1,46357.46,0.0,46357.46,25560.6,20796.86
ORD00010,2025-06-12,CUST0593,Corporate,Tablet,Electronics,West,Mumbai,2,21572.1,0.0,43144.2,33038.79,10105.41
ORD00011,2025-02-02,CUST0930,Consumer,Stapler,Office Supplies,South,Chennai,5,43803.41,0.1,197115.35,152134.26,44981.09
ORD00012,2025-05-11,CUST0613,Consumer,Laptop,Electronics,East,Patna,3,31411.7,0.05,89523.34,49806.74,39716.6
ORD00013,2025-12-18,CUST1599,Corporate,Mouse,Electronics,South,Bengaluru,4,54463.23,0.05,206960.27,135061.39,71898.88
ORD00014,2025-01-13,CUST1060,Small Business,Mouse,Electronics,North,Jaipur,4,55788.89,0.15,189682.23,134361.59,55320.64
ORD00015,2025-04-18,CUST1052,Small Business,Coffee Table,Furniture,South,Chennai,3,19528.27,0.0,58584.81,37440.06,21144.75
ORD00016,2025-10-10,CUST1409,Consumer,Watch,Accessories,South,Hyderabad,3,25102.92,0.05,71543.32,41492.72,30050.6
